Órgão,Início,Término,Ciclo,Atividade,Dica,Municípios,Participação,ID,VTR,Viatura,KM
"REDEC 2 - BAIXADA FLUMINENSE","2019-10-15 10:00:00","2019-10-15 13:00:00","Mitigação de Emergências e Desastres","Análise Técnica","Vistorias em Sirenes, Relatório Diagnóstico, etc","Nova Iguaçu",promotor,51,Sim,"ARDC - 012",160
"REDEC 2 - BAIXADA FLUMINENSE","2019-10-21 00:00:00","2019-10-21 00:00:00","Mitigação de Emergências e Desastres","Apoio Técnico","Ex: preenchimento de FIDE, Decretos de SE e ECP","Nova Iguaçu",promotor,53,Sim,"ARDC - 012",29
"REDEC 2 - BAIXADA FLUMINENSE","2019-10-22 00:00:00","2019-10-22 00:00:00","Mitigação de Emergências e Desastres","Apoio Técnico","Ex: preenchimento de FIDE, Decretos de SE e ECP","Engenheiro Paulo de Frontin, Guapimirim, Paracambi",promotor,54,Sim,"ARDC - 012",186
"REDEC 2 - BAIXADA FLUMINENSE","2019-10-23 09:00:00","2019-10-23 13:00:00","Preparação para Emergências e Desastres","Reunião de Trabalho Externa","Reunião promovida por um órgão com a participação de integrantes de outros órgãos. O registro é feito pelo órgão que promove a atividade e também pelos órgãos cujos integrantes participam da atividade",Queimados,participante,55,Sim,"ARDC - 012",65
"REDEC 3 - METROPOLITANA","2019-10-24 00:00:00","2019-10-24 00:00:01","Prevenção de Riscos e Desastres","Reunião de Trabalho Externa","Reunião promovida por um órgão com a participação de integrantes de outros órgãos. O registro é feito pelo órgão que promove a atividade e também pelos órgãos cujos integrantes participam da atividade","Rio de Janeiro (SEDEC)",participante,76,Sim,"ARDC - 015",48
"REDEC 2 - BAIXADA FLUMINENSE","2019-10-24 09:00:00","2019-10-24 13:00:00","Preparação para Emergências e Desastres","Capacitação Externa","Capacitação feita por um órgão com a participação de integrantes de outros órgãos. O registro é feito pelo órgão que promove a atividade e também pelos órgãos cujos integrantes participam da atividade","Belford Roxo, Duque de Caxias, Engenheiro Paulo de Frontin, Guapimirim, Japeri, Magé, Mesquita, Nilópolis, Nova Iguaçu, Paracambi, Queimados, São João de Meriti, Seropédica",participante,56,Sim,"ARDC - 012",80
"REDEC 2 - BAIXADA FLUMINENSE","2019-10-25 09:00:00","2019-10-25 13:00:00","Preparação para Emergências e Desastres",Representação,"Participação em eventos e solenidades em nome do órgão","Rio de Janeiro (SEDEC)",participante,61,Sim,"ARDC - 012",54
"REDEC 2 - BAIXADA FLUMINENSE","2019-10-25 20:00:00","2019-10-25 23:59:00","Resposta a Emergências e Desastres","Apoio Técnico","Ex: preenchimento de FIDE, Decretos de SE e ECP","Belford Roxo, Duque de Caxias, Engenheiro Paulo de Frontin, Guapimirim, Japeri, Magé, Mesquita, Nilópolis, Nova Iguaçu, Paracambi, Queimados, São João de Meriti, Seropédica",promotor,57,Sim,"ARDC - 012",1
"REDEC 2 - BAIXADA FLUMINENSE","2019-10-26 00:00:00","2019-10-26 23:59:00","Resposta a Emergências e Desastres","Apoio Operacional","Ex: Emprego de viaturas e equipamentos operacionais","Mesquita, Nova Iguaçu, Queimados",promotor,58,Sim,"ARDC - 012",74
"REDEC 2 - BAIXADA FLUMINENSE","2019-10-26 09:00:00","2019-10-26 12:00:00","Preparação para Emergências e Desastres","Exercício Simulado","O registro é do órgão que promove a atividade e dos órgãos que participam","Duque de Caxias",participante,62,Sim,"ARDC - 012",73
"REDEC 2 - BAIXADA FLUMINENSE","2019-10-27 08:00:00","2019-10-27 19:00:00","Resposta a Emergências e Desastres","Apoio Operacional","Ex: Emprego de viaturas e equipamentos operacionais","Nova Iguaçu",participante,59,Sim,"ARDC - 012",42
"REDEC 2 - BAIXADA FLUMINENSE","2019-10-27 10:00:00","2019-10-27 20:00:00","Resposta a Emergências e Desastres","Apoio Operacional","Ex: Emprego de viaturas e equipamentos operacionais","Nova Iguaçu",participante,60,Sim,"ARDC - 012",45
"REDEC 2 - BAIXADA FLUMINENSE","2019-10-28 00:00:00","2019-10-28 23:59:00","Resposta a Emergências e Desastres","Apoio Operacional","Ex: Emprego de viaturas e equipamentos operacionais","Nova Iguaçu",participante,64,Sim,"ARDC - 012",45
"REDEC 3 - METROPOLITANA","2019-10-29 00:00:00","2019-10-29 00:00:01","Preparação para Emergências e Desastres","Capacitação Interna","Capacitação feita para integrantes do prórpio órgão. O registro é apenas do órgão que promove a atividade",Niterói,promotor,77,Sim,"ARDC - 015",1
"REDEC 2 - BAIXADA FLUMINENSE","2019-10-30 09:00:00","2019-10-30 23:59:00","Resposta a Emergências e Desastres","Apoio Técnico","Ex: preenchimento de FIDE, Decretos de SE e ECP","Nova Iguaçu",participante,67,Sim,"ARDC - 012",30
"REDEC 2 - BAIXADA FLUMINENSE","2019-10-31 00:00:00","2019-10-31 23:59:00","Resposta a Emergências e Desastres","Apoio Técnico","Ex: preenchimento de FIDE, Decretos de SE e ECP","Nova Iguaçu",participante,68,Sim,"ARDC - 012",45
